"gid","lbl.x","val.x","lbl.y","val.y","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균","구급발생수","전체발생수","화재발생정규화","구조발생정규화","구급발생정규화","전체발생정규화","소요시간","정규화시간","전체시간가중"
"라라77b88a","4.49",4.49,"4.49",4.49,63.39,4.49,32,63.39,29.28,0,13,0,6,29.28,0,0,0,0,19,0,0,0,0,12,0,0,0,0,8285.23,24,21,23.003,2.374,16.26,5,0.81,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.529161997379962,0,0.00392156862745098,0.0153846153846154,0.0193061840120664,14.706958639636,1.28864836356876,1.31352724600266
"라라56a97b","4.67",4.67,"4.67",4.67,73.12,4.67,13,79.69,19,0,0,0,9,22.51,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3762.16,7,4,16.275,3.552,8.896,5,0.41,1,31632,31632,0,0,7022,7022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.381044303262749,0.032258064516129,0.00224089635854342,0,0.0344989608746724,17.2295135419125,1.33949191483428,1.38570299399609
"라라72a85b","5.45",5.45,"5.45",5.45,169.07,5.45,14,169,6.92,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33689.17,5,3,20.298,1.905,3.205,4,0.95,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.776886294168844,0,0.00280112044817927,0,0.00280112044817927,7.01184142031331,1.13354883075709,1.13672403756593
"라라38a94a","4.80",4.8,"4.80",4.8,691.71,4.8,5,778.11,35.79,0,0,0,0,38.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5781.7,2,0,21.37,4.206,5.851,2,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.852179461215926,0,0,0,0,12.2659220823996,1.2394478616384,1.2394478616384
"라라69b90a","4.76",4.76,"4.76",4.76,152.23,4.76,10,151.14,25.9,0,0,0,0,25.76,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4070.64,4,2,17.381,2.411,2.406,4,0.6,1,12699,12699,0,0,7566,7566,9,2,0.222222222,0,0,0,0,2,0.222222222,0,0,0,0,1,-0.233215459558984,0.032258064516129,0.00504201680672269,0.00512820512820513,0.0424282864510569,10.9975308958998,1.21388270456002,1.26538566766708
"라라62b76b","7.56",7.56,"7.56",7.56,509.79,7.56,4,576.61,35.19,0,0,0,0,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20456.74,3,0,15.645,2.927,6.517,4,1.1,0,0,0,0,0,0,0,4,3,0.75,0,0,1,0.25,1,0.25,1,0.25,0,0,2,-0.646873574264895,0,0.00224089635854342,0.0102564102564103,0.0124973066149537,14.0312898815461,1.27502986943432,1.29096430865586
"라라62b83a","10.40",10.4,"10.40",10.4,1179.13,10.4,1,1375.62,28.61,0,0,0,0,33.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545.52,1,0,11.516,3.927,3.882,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.852179461215926,0,0,0,0,13.274996282209,1.2597863350498,1.2597863350498
"라라60b83b","6.20",6.2,"6.20",6.2,92.19,6.2,70,108.02,34.25,0,49,0,49,47.07,0,0,0,0,102,8,0,0,15,34,14,14,0,0,50523.73,60,41,6.241,3.005,3.758,5,2.99,2,871,435.5,0,0,977,488.5,34,4,0.117647059,0,0,1,0.029411765,0,0,2,0.058823529,0,0,2,0.626686676648622,0.0645161290322581,0.019047619047619,0.0102564102564103,0.0938201583362874,2.43343428091768,1,1.09382015833629
"라라54a82b","8.23",8.23,"8.23",8.23,118.43,8.23,23,125.2,36.1,0,22,0,21,42.03,0,0,0,0,43,0,0,0,6,15,10,0,0,0,36480.27,19,18,5.638,4.284,1.049,3,1.16,1,550,550,0,0,422,422,48,21,0.4375,0,0,9,0.1875,9,0.1875,1,0.020833333,0,0,3,0.499142596721624,0.032258064516129,0.026890756302521,0.0153846153846154,0.0745334362032654,7.10229124496041,1.13537189922321,1.21999506824094
"라라38b90b","3.90",3.9,"3.90",3.9,92.12,3.9,22,91.78,15.52,0,12,0,10,15.52,0,0,0,0,22,0,0,0,6,0,0,0,0,0,7235.45,18,17,26.164,2.576,7.522,4,0.81,0,0,0,0,0,0,0,7,2,0.285714286,0,0,0,0,2,0.285714286,0,0,0,0,0,-0.746769027350011,0,0.00392156862745098,0,0.00392156862745098,4.99407722644644,1,1.00392156862745
