"gid","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균"
"라라41b88a",75.99,5.33,18,80.95,20.78,0,9,0,10,24.04,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10033.2,12,9,18.44,5.122,8.002,4,0.58,1,49262,49262,0,0,13604,13604,10,1,0.1,0,0,1,0.1,0,0,0,0,0,0
"라라71a88a",631.07,8.43,36,662.64,5.25,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65475.48,0,0,17.732,1.54,2.752,2,9.2,3,4283,1427.66666666667,0,0,18975,6325,11,0,0,0,0,0,0,0,0,0,0,0,0
"라라54b86a",10978.7,15.03,5,19306.55,19.73,0,0,0,0,32.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600173.88,2,0,2.084,4.076,1.312,2,38.61,1,0,0,0,0,170,170,50,12,0.24,2,0.04,4,0.08,4,0.08,2,0.04,0,0
"라라50a85a",210.25,0,4,217.08,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,337759.03,4,4,3.778,4.484,1.009,3,0.35,5,8612,1722.4,0,0,11681,2336.2,40,1,0.025,0,0,1,0.025,0,0,0,0,0,0
"라라52a89a",90.56,9.99,971,229.42,59.32,88,1319,13,2358,147.08,203,70,76,107,3880,385,295,434,705,800,592,288,39,0,912882.01,822,678,1.776,1.492,0.493,14,88.8,18,35899,1994.38888888889,0,0,7066,392.555555555556,477,59,0.123689727463312,7,0.0146750524109015,26,0.0545073375262055,11,0.0230607966457023,7,0.0146750524109015,2,0.00419287211740042
"라마53a00a",95.98,7,3,107.14,13.44,0,0,0,0,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2911.49,2,2,22.501,3.869,15.774,2,0.13,3,19385,6461.66666666667,0,0,3790,1263.33333333333,4,0,0,0,0,0,0,0,0,0,0,0,0
"라라66a88a",134.37,8.73,17,251.94,39.34,0,6,0,12,82.96,0,0,0,0,20,0,0,0,6,0,0,0,0,0,26808.66,15,13,12.243,7.357,4.871,6,1.71,3,4575,1525,0,0,865,288.333333333333,25,1,0.04,0,0,1,0.04,0,0,0,0,0,0
"라라66b90a",234.8,5.58,11,239.86,31.15,0,6,0,7,32.92,0,0,0,0,13,0,0,0,0,0,0,0,0,0,26924.95,8,4,15.172,3.577,4.507,4,1.06,1,220,220,0,0,1617,1617,2,0,0,0,0,0,0,0,0,0,0,0,0
"라라65b85b",204.8,5,1,204.8,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276.86,1,0,11.328,3.787,3.256,1,0.08,1,110,110,0,0,1938,1938,4,0,0,0,0,0,0,0,0,0,0,0,0
"라라55a81b",602.86,8.82,25,1005.59,35.82,0,0,0,6,63.76,0,0,0,0,7,0,0,0,0,0,0,0,0,0,237607.7,3,0,6.771,2.726,0.833,9,9.99,2,3078,1539,0,0,561,280.5,56,6,0.107142857142857,0,0,3,0.0535714285714286,3,0.0535714285714286,0,0,0,0
"라라55a90b",243.96,30.35,58,4141.26,50.36,178,206,28,2811,115.33,834,326,208,439,3851,389,474,894,599,218,82,34,10,0,299248.08,5,3,3.501,2.207,1.679,4,96.08,1,3444,3444,0,0,521,521,119,18,0.151260504201681,0,0,14,0.117647058823529,1,0.00840336134453781,0,0,2,0.0168067226890756
"라라53b84a",110.1,6.85,80,171.74,27.93,9,47,1,107,37.93,0,0,6,0,157,18,6,19,34,26,26,8,0,0,121555.93,40,19,5.183,6.594,2.658,7,5.43,2,770,385,0,0,8739,4369.5,41,4,0.0975609756097561,0,0,3,0.0731707317073171,1,0.024390243902439,0,0,0,0
"라라58b85a",174.06,8.04,9,224.99,21.44,0,0,0,12,30.33,0,0,0,0,14,0,0,0,7,0,0,0,0,0,67056.94,2,2,2.756,4.393,2.406,6,0.81,2,1440,720,0,0,1771,885.5,28,8,0.285714285714286,0,0,3,0.107142857142857,4,0.142857142857143,1,0.0357142857142857,0,0
"라라43a85b",98.1,3.43,7,97.47,21.76,0,0,0,0,21.44,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4191.28,6,3,16.936,6.264,8.462,2,0.27,1,213,213,0,0,422,422,1,0,0,0,0,0,0,0,0,0,0,0,0
"라라54b84b",81.86,11.12,8,253.1,25.09,0,0,0,37,66.2,0,0,0,0,39,31,0,0,0,0,0,0,0,0,400865.09,0,0,4.213,6.81,1.688,1,0.81,5,9251,1850.2,0,0,2360,472,88,8,0.0909090909090909,0,0,4,0.0454545454545455,0,0,1,0.0113636363636364,0,0
