gid,건축면적,건축물높이,건축물수,건축물연면적,건폐율,고등학생인구수,고령인구수,공동건축물수,생산가능인구수,용적율,유소년인구수,유아인구수,중학생인구수,초등학생인구수,총인구수,연령20대수,연령30대수,연령40대수,연령50대수,연령60대수,연령70대수,연령80대수,연령90대수,연령100대이상수,공시지가,노후건물수20년,노후건물수30년,응급의료시설접근성,보건기관접근성,주차장접근성,토지이용복합도,토지이용압축도,화재발생수,화재재산피해합계,화재재산피해평균,화재인명피해합계,화재인명피해평균,화재진압시간합계,화재진압시간평균,구조발생수,구조대상자수합계,구조대상자수평균,구조사망합계,구조사망평균,구조안전구조합계,구조안전구조평균,구조경상합계,구조경상평균,구조중상합계,구조중상평균,구조행방불명합계구조,구조행방불명평균,구급발생수
라라46a97b,83.91,0,2,83.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941.58,2,2,16.408,1.623,5.077,2,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라36b91a,110.09,0,1,110.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098.23,1,1,27.925,4.343,4.524,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라62b76a,149.79,6.9,2,148.5,27.23,0,0,0,0,26.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22237.77,1,0,14.975,2.257,5.644,2,0.12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라62a91a,55.48,4.08,5,55.48,14.47,0,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4026.16,0,0,12.325,6.938,3.484,3,0.11,0,0,0,0,0,0,0,3,1,0.333333333,1,0.333333333,0,0,0,0,0,0,0,0,1
라라47a81b,76.63,4.47,20,81.43,12.55,0,0,0,0,13.38,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9406.25,5,3,11.384,1.364,5.7,6,0.65,0,0,0,0,0,0,0,12,3,0.25,2,0.166666667,0,0,1,0.083333333,0,0,0,0,1
라라49a87a,175.89,6.58,6,340.04,12.97,0,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88948.62,0,0,4.994,5.927,0.362,3,0.82,0,0,0,0,0,0,0,28,2,0.071428571,0,0,1,0.035714286,1,0.035714286,0,0,0,0,2
라라56b85b,121.47,8.2,7,226.52,16.46,0,0,0,8,24.55,0,0,0,0,16,0,0,0,0,0,0,0,0,0,55585.89,0,0,1.699,6.156,1.513,4,0.54,2,625,312.5,0,0,237,118.5,19,7,0.368421053,1,0.052631579,3,0.157894737,3,0.157894737,0,0,0,0,4
라라45b92a,18,3.05,1,18,2.51,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114.19,0,0,30.307,17.683,19.327,1,0.01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA
라마57b01a,71.27,5.51,75,74.84,22.09,0,39,0,27,25.52,0,0,0,0,68,0,0,0,9,18,14,12,0,0,10913.16,69,60,18.588,3.92,9.947,4,2.25,0,0,0,0,0,0,0,23,3,0.130434783,0,0,2,0.086956522,1,0.043478261,0,0,0,0,1
라라56b82b,96.84,5.28,34,102.84,21.12,0,13,0,40,22.28,0,0,0,0,55,7,0,6,16,8,0,0,0,0,21707.46,9,3,5.395,3.951,2.885,3,1.34,1,759,759,0,0,132,132,11,0,0,0,0,0,0,0,0,0,0,0,0,1
라라44b90a,679.33,0,1,679.33,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2320.53,1,1,14.97,12.629,7.115,1,0.27,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라48b96a,79.94,4.46,17,78.96,25.43,0,10,0,6,24.3,0,0,0,0,18,0,0,0,0,0,6,0,0,0,7840.4,15,12,11.918,4.044,8.662,3,0.54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
라라42a89a,76.6,4,17,75.75,23.09,0,9,0,6,22.98,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8743.82,8,2,18.513,4.963,5.171,4,0.52,2,512,256,0,0,724,362,4,2,0.5,1,0.25,0,0,0,0,0,0,0,0,NA
라라41b86a,120.3,5.42,5,120.3,15.25,0,6,0,0,15.25,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3541.48,0,0,16.841,4.427,6.625,1,0.24,2,9787,4893.5,0,0,2916,1458,13,6,0.461538462,0,0,1,0.076923077,2,0.153846154,3,0.230769231,0,0,1
라라75b85b,79.96,4.88,30,79.49,14.42,0,25,0,12,14.26,0,0,0,0,38,0,0,0,0,10,7,7,0,0,11376.32,20,18,24.28,1.153,3.328,5,0.95,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
라라64a85b,198,7.83,1,198,30.46,0,0,0,0,30.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6158.1,0,0,8.997,2.679,1.65,0,0,1,8649,8649,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA
